rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20
"Simmons, E. Denise","Sullivan, Edward J.","Davis, Henrietta","Ward, Larry W.","Reeves, Kenneth E.","Toomey, Jr., Timothy J.","Maher, David P.","Seidel, Sam","Glick, Silvia P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cheung, Leland","Kelley, Craig A.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Sullivan, Edward J.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Reeves, Kenneth E.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","vanBeuzekom, Minka Y.","Ward, Larry W.","Davis, Henrietta","Reeves, Kenneth E.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Simmons, E. Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Seidel, Sam","Simmons, E. Denise","Kelley, Craig A.","Maher, David P.","Toomey, Jr., Timothy J.","Ward, Larry W.","Stohlman, Jr., Thomas J.","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Seidel, Sam","Simmons, E. Denise","Kelley, Craig A.","Stohlman, Jr., Thomas J.","Toomey, Jr., Timothy J.","Maher, David P.","Ward, Larry W.","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Adkins, Lawrence J.","Toomey, Jr., Timothy J.","Reeves, Kenneth E.","Cheung, Leland","Davis, Henrietta","Ward, Larry W.","Maher, David P.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Reeves, Kenneth E.","Adkins, Lawrence J.","Cheung, Leland","Toomey, Jr., Timothy J.","Davis, Henrietta","Ward, Larry W.","Kelley, Craig A.","Seidel, Sam","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cheung, Leland","vanBeuzekom, Minka Y.","Seidel, Sam",skipped,skipped,skipped,"Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Toomey, Jr., Timothy J.","Seidel, Sam","Davis, Henrietta","Reeves, Kenneth E.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Simmons, E. Denise","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Jr., Timothy J.","Ward, Larry W.","Kelley, Craig A.","Leavitt, Neal W.","Davis, Henrietta","Seidel, Sam",skipped,"Simmons, E. Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Marquardt, Charles J.","Decker, Marjorie C.","Simmons, E. Denise","Maher, David P.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Reeves, Kenneth E.","Adkins, Lawrence J.","Ward, Larry W.","Williamson, James M.","Decker, Marjorie C.","Toomey, Jr., Timothy J.","Simmons, E. Denise","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Decker, Marjorie C.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Decker, Marjorie C.","Reeves, Kenneth E.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","vanBeuzekom, Minka Y.","Williamson, James M.","Davis, Henrietta","Flanagan, Mark F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Reeves, Kenneth E.","Toomey, Jr., Timothy J.","Ward, Larry W.","Maher, David P.","Davis, Henrietta",skipped,"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","vanBeuzekom, Minka Y.","Seidel, Sam","Simmons, E. Denise","Maher, David P.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Davis, Henrietta","Simmons, E. Denise","Decker, Marjorie C.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise","Davis, Henrietta","Ward, Larry W.","vanBeuzekom, Minka Y.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Simmons, E. Denise","Toomey, Jr., Timothy J.","Reeves, Kenneth E.","Moree, Gregg J.","Leavitt, Neal W.","Glick, Silvia P.","Davis, Henrietta","Williamson, James M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Simmons, E. Denise","Ward, Larry W.","Davis, Henrietta","Reeves, Kenneth E.","Seidel, Sam","Maher, David P.","Toomey, Jr., Timothy J.","Stohlman, Jr., Thomas J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Simmons, E. Denise","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Simmons, E. Denise","Reeves, Kenneth E.","vanBeuzekom, Minka Y.","Cheung, Leland","Davis, Henrietta","Flanagan, Mark F.","Podgers, Kathy","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Simmons, E. Denise","Reeves, Kenneth E.","Seidel, Sam","Maher, David P.","Davis, Henrietta","vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Sullivan, Edward J.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Davis, Henrietta","Simmons, E. Denise","Glick, Silvia P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","vanBeuzekom, Minka Y.","Simmons, E. Denise","Kelley, Craig A.","Seidel, Sam","Glick, Silvia P.","Decker, Marjorie C.","Reeves, Kenneth E.","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Davis, Henrietta","Glick, Silvia P.","vanBeuzekom, Minka Y.","Reeves, Kenneth E.","Cheung, Leland","Decker, Marjorie C.","Toomey, Jr., Timothy J.","Maher, David P.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Kelley, Craig A.","Reeves, Kenneth E.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Seidel, Sam","Decker, Marjorie C.","Reeves, Kenneth E.","Ward, Larry W.","Cheung, Leland","Kelley, Craig A.","Podgers, Kathy","Williamson, James M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Simmons, E. Denise","Davis, Henrietta","Sullivan, Edward J.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise","Ward, Larry W.","Adkins, Lawrence J.","Seidel, Sam","Davis, Henrietta","Williamson, James M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Simmons, E. Denise","Reeves, Kenneth E.","Ward, Larry W.","Seidel, Sam","vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Ward, Larry W.","vanBeuzekom, Minka Y.","Glick, Silvia P.","Kelley, Craig A.","Reeves, Kenneth E.","Leavitt, Neal W.",skipped,"Seidel, Sam","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Reeves, Kenneth E.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Simmons, E. Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
overvote,"Reeves, Kenneth E.","Ward, Larry W.","Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Reeves, Kenneth E.","Seidel, Sam","Toomey, Jr., Timothy J.","Cheung, Leland","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Davis, Henrietta","Reeves, Kenneth E.","Simmons, E. Denise","Marquardt, Charles J.","Kelley, Craig A.","Glick, Silvia P.","Decker, Marjorie C.","Ward, Larry W.","Toomey, Jr., Timothy J.","Stohlman, Jr., Thomas J.","Leavitt, Neal W.","Maher, David P.","Williamson, James M.","Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Decker, Marjorie C.","Cheung, Leland","Podgers, Kathy","Williamson, James M.","Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","vanBeuzekom, Minka Y.","Ward, Larry W.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Podgers, Kathy","Kelley, Craig A.","Toomey, Jr., Timothy J.","Williamson, James M.","Flanagan, Mark F.","Maher, David P.","Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, E. Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Kelley, Craig A.","Toomey, Jr., Timothy J.","Williamson, James M.","Maher, David P.","Flanagan, Mark F.","Glick, Silvia P.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Simmons, E. Denise","Decker, Marjorie C.","Ward, Larry W.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","vanBeuzekom, Minka Y.","Davis, Henrietta","Decker, Marjorie C.","Reeves, Kenneth E.","Seidel, Sam","Glick, Silvia P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cheung, Leland","Decker, Marjorie C.","Simmons, E. Denise","Reeves, Kenneth E.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","vanBeuzekom, Minka Y.","Decker, Marjorie C.","Cheung, Leland","Reeves, Kenneth E.","Glick, Silvia P.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Reeves, Kenneth E.","Ward, Larry W.","Toomey, Jr., Timothy J.","Decker, Marjorie C.","Adkins, Lawrence J.","Seidel, Sam","vanBeuzekom, Minka Y.","Williamson, James M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Simmons, E. Denise","Ward, Larry W.","Decker, Marjorie C.","Davis, Henrietta","Maher, David P.","vanBeuzekom, Minka Y.","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Davis, Henrietta","Simmons, E. Denise","vanBeuzekom, Minka Y.","Stohlman, Jr., Thomas J.","Reeves, Kenneth E.","Leavitt, Neal W.","Kelley, Craig A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Jr., Timothy J.","Decker, Marjorie C.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Decker, Marjorie C.","vanBeuzekom, Minka Y.","Glick, Silvia P.","Kelley, Craig A.","Leavitt, Neal W.","Seidel, Sam","Reeves, Kenneth E.","Podgers, Kathy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Jr., Timothy J.","Decker, Marjorie C.","Kelley, Craig A.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Marquardt, Charles J.","Simmons, E. Denise","Decker, Marjorie C.","Maher, David P.","Reeves, Kenneth E.","Davis, Henrietta","vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Toomey, Jr., Timothy J.","Flanagan, Mark F.",skipped,"Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Marquardt, Charles J.","Moree, Gregg J.","Ward, Larry W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Jr., Timothy J.","Sullivan, Edward J.","Davis, Henrietta","Kelley, Craig A.","Maher, David P.",skipped,"Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,overvote,overvote,overvote,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","vanBeuzekom, Minka Y.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Reeves, Kenneth E.","Toomey, Jr., Timothy J.","Davis, Henrietta","Seidel, Sam",Write-In 3,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.",Write-In 3,"Flanagan, Mark F.","Leavitt, Neal W.","Marquardt, Charles J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Adkins, Lawrence J.","Cheung, Leland","Reeves, Kenneth E.","Seidel, Sam","Simmons, E. Denise","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Kelley, Craig A.","Maher, David P.","Moree, Gregg J.",Write-In 3,"Williamson, James M.","vanBeuzekom, Minka Y.","Stohlman, Jr., Thomas J.","Davis, Henrietta",skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Simmons, E. Denise",Write-In 3,"Ward, Larry W.","Maher, David P.","Toomey, Jr., Timothy J.","Davis, Henrietta","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Stohlman, Jr., Thomas J.","Sullivan, Edward J.","Toomey, Jr., Timothy J.","Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland","Flanagan, Mark F.","Glick, Silvia P.","Leavitt, Neal W.","Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy",Write-In 3,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.",skipped,"Simmons, E. Denise",skipped,"Sullivan, Edward J.",skipped,skipped,skipped,skipped,"Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,"Marquardt, Charles J.",skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Jr., Timothy J.","Seidel, Sam","Ward, Larry W.","Stohlman, Jr., Thomas J.","Davis, Henrietta",skipped,"Glick, Silvia P.","Flanagan, Mark F.","Simmons, E. Denise","Leavitt, Neal W.","Adkins, Lawrence J.","Sullivan, Edward J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Glick, Silvia P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Simmons, E. Denise","Maher, David P.","Davis, Henrietta","Decker, Marjorie C.","vanBeuzekom, Minka Y.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Decker, Marjorie C.","Simmons, E. Denise","Davis, Henrietta","Maher, David P.","Podgers, Kathy","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Decker, Marjorie C.","Kelley, Craig A.","Reeves, Kenneth E.","Ward, Larry W.","vanBeuzekom, Minka Y.","Podgers, Kathy","Marquardt, Charles J.","Seidel, Sam","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Glick, Silvia P.","vanBeuzekom, Minka Y.","Kelley, Craig A.","Leavitt, Neal W.","Stohlman, Jr., Thomas J.","Cheung, Leland","Flanagan, Mark F.","Williamson, James M.","Podgers, Kathy","Moree, Gregg J.","Marquardt, Charles J.","Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Stohlman, Jr., Thomas J.","Davis, Henrietta","Seidel, Sam","Kelley, Craig A.","Toomey, Jr., Timothy J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","vanBeuzekom, Minka Y.","Glick, Silvia P.","Marquardt, Charles J.","Adkins, Lawrence J.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"vanBeuzekom, Minka Y.","Kelley, Craig A.","Glick, Silvia P.","Williamson, James M.","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Edward J.","Toomey, Jr., Timothy J.","Ward, Larry W.","Kelley, Craig A.","Leavitt, Neal W.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Seidel, Sam","vanBeuzekom, Minka Y.","Maher, David P.","Stohlman, Jr., Thomas J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, E. Denise","Maher, David P.","Sullivan, Edward J.","Toomey, Jr., Timothy J.",skipped,"Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Moree, Gregg J.","Kelley, Craig A.","Williamson, James M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Jr., Timothy J.","Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Reeves, Kenneth E.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Podgers, Kathy","Simmons, E. Denise","Sullivan, Edward J.","Williamson, James M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Marquardt, Charles J.","Moree, Gregg J.","Podgers, Kathy","Stohlman, Jr., Thomas J.","Sullivan, Edward J.","vanBeuzekom, Minka Y.","Williamson, James M.","Adkins, Lawrence J.","Cheung, Leland","Flanagan, Mark F.","Glick, Silvia P.","Leavitt, Neal W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Toomey, Jr., Timothy J.","Ward, Larry W.","Stohlman, Jr., Thomas J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Davis, Henrietta","Seidel, Sam","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Maher, David P.","Stohlman, Jr., Thomas J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Ward, Larry W.","Simmons, E. Denise","Seidel, Sam","vanBeuzekom, Minka Y.","Davis, Henrietta","Glick, Silvia P.","Cheung, Leland",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
